GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
1	Cchi00015	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
2	Cchi00015	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
3	Cchi00024	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
4	Cchi00024	ko00531	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
5	Cchi00024	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
6	Cchi00024	ko00944	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
7	Cchi00024	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
8	Cchi00024	ko04142	Lysosome	Cellular Processes	Transport and catabolism
9	Cchi00026	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
10	Cchi00026	ko04142	Lysosome	Cellular Processes	Transport and catabolism
11	Cchi00026	ko04210	Apoptosis	Cellular Processes	Cell growth and death
12	Cchi00026	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
13	Cchi00026	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
14	Cchi00026	ko04924	Renin secretion	Organismal Systems	Endocrine system
15	Cchi00028	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
16	Cchi00028	ko04142	Lysosome	Cellular Processes	Transport and catabolism
17	Cchi00028	ko04210	Apoptosis	Cellular Processes	Cell growth and death
18	Cchi00028	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
19	Cchi00028	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
20	Cchi00028	ko04924	Renin secretion	Organismal Systems	Endocrine system
21	Cchi00039	ko03040	Spliceosome	Genetic Information Processing	Transcription
22	Cchi00040	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
23	Cchi00044	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
24	Cchi00044	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
25	Cchi00044	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
26	Cchi00046	ko03013	RNA transport	Genetic Information Processing	Translation
28	Cchi00049	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
29	Cchi00055	ko03040	Spliceosome	Genetic Information Processing	Transcription
30	Cchi00056	ko03010	Ribosome	Genetic Information Processing	Translation
