#FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>	
OG0000001	4.05745e-06	0.596686	0.000390619	0.171541	2.57998e-42	1.04085e-159	1.03152e-11	1.42807e-08	0.0496199	1.27756e-22	3.43496e-13	3.52343e-28	0.126601	0.420246	5.19761e-07	4.0354e-07	0.64368	0.000328863	N/A
OG0000004	0.000276467	1.53858e-10	0.331422	0.650496	0.476926	0.0614314	0.351344	2.71e-07	0.178191	4.9365e-29	0.00305195	6.99624e-06	0.0515691	0.856219	0.00017305	5.44683e-06	0.636311	0.000924362	N/A
OG0000005	0.151291	0.814673	0.266578	0.00753137	2.10016e-16	2.60905e-52	1.20227e-08	0.00191178	0.0182862	4.77204e-44	1.98054e-10	9.0441e-10	0.0664195	0.822849	0.000183135	0.000197256	0.604104	0.0332982	N/A
OG0000009	0.151985	0.603314	0.532635	0.185149	8.80272e-30	2.53394e-185	2.688e-07	2.89005e-14	0.757968	0.0114414	0.0024438	7.9385e-07	0.668111	0.692051	0.0114044	0.0738771	0.546257	0.324985	N/A
OG0000011	1.34764e-07	0.0162272	0.704151	9.21441e-07	7.46916e-15	1.0143e-34	7.38745e-05	0.0191734	0.0533923	0.0275265	0.00333437	1.40646e-32	0.800758	0.0383553	0.00226909	0.0302931	0.62868	0.256651	N/A
OG0000012	0.91771	2.65776e-05	0.0872688	0.0220293	2.53728e-17	2.62975e-14	0.331497	0.607115	0.112401	0.694231	5.32202e-05	0.0556344	0.284269	0.545226	0.000229524	0.504133	0.657671	0.10077	N/A
OG0000013	0.0591618	0.793358	0.634783	4.03579e-05	1.93175e-05	2.29505e-11	1.42737e-05	0.176	0.00178553	3.70634e-12	6.02769e-08	2.96384e-44	0.785547	0.0735571	0.00329655	0.000396053	0.595311	0.0163437	N/A
OG0000014	4.41296e-05	0.844358	0.00270847	0.220371	7.49254e-14	1.51667e-06	0.0442716	0.684433	0.00021183	2.13068e-20	0.0740918	3.33555e-13	0.819329	0.0526515	2.20058e-06	7.45325e-06	0.612588	0.00315298	N/A
OG0000015	0.416509	0.765306	0.205784	0.016329	6.26606e-08	4.45143e-24	1.42737e-05	0.1025	0.0308881	3.23659e-10	6.63352e-08	2.14054e-39	0.767415	0.121112	0.000278072	0.000279498	0.576749	0.0326821	N/A
OG0000016	0.0347317	0.907414	0.271642	2.1754e-05	0.0867765	0.623204	0.815202	0.15718	0.441686	0.0471756	0.689649	0.00162823	0.807454	0.326426	0.0407056	0.0777525	0.64368	0.724341	N/A
OG0000017	4.19382e-09	0.0468072	0.434429	0.905433	7.44634e-19	4.00963e-06	0.479096	0.00851256	0.86446	0.0356516	0.0627697	0.165988	0.489812	0.313613	0.0246573	0.490627	0.650796	0.000758062	N/A
