FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>
OG0000001	-7	-1	-4	-3	-38	+158	-12	+19	-4	+58	-24	+67	+2	+1	-14	+12	+0	-11	+0
OG0000004	-9	+21	+1	+1	-1	-2	+1	-13	-3	+69	-10	+19	+3	+0	-11	+10	+0	-10	+0
OG0000005	-2	+0	-1	-4	-16	+54	-8	+7	-4	+89	-16	+25	+2	+0	-9	+7	+0	-6	+0
OG0000009	-1	+0	+0	-1	-24	+168	-5	+19	+0	+5	-5	+13	+0	+0	-4	+2	+0	-2	+0
OG0000011	-8	+4	+0	-8	-14	+37	-5	+5	-3	+7	-9	+69	+0	+3	-9	+4	+0	-4	+0
OG0000012	+0	+12	+2	-6	+22	-15	+1	+1	+3	+1	-11	+6	+1	-1	-12	+1	+0	+6	+0
OG0000013	-2	+0	+0	-5	-6	+13	-5	+2	-5	+29	-14	+86	+0	+2	-7	+6	+0	-6	+0
OG0000014	-6	+0	-3	+2	-11	+8	-2	-1	-7	+48	-6	+35	+0	+3	-11	+9	+0	-8	+0
OG0000015	-1	+0	-1	-3	-8	+25	-5	+3	-3	+24	-13	+76	+0	+2	-7	+6	+0	-5	+0
OG0000016	+5	+0	+1	-10	+3	-1	+0	+3	+1	-6	+1	+11	+0	+1	-7	+3	+0	-2	+0
OG0000017	-11	+4	-1	+0	+23	-8	-1	+6	+0	-6	+6	+4	-1	+1	+9	+1	+0	-11	+0
OG0000019	-2	+18	+2	-3	+19	-15	+1	+0	+4	+2	-2	-7	+2	-2	+2	+1	+0	-6	+0
OG0000021	+0	-1	+0	+0	-14	+101	-1	+15	+0	-2	-4	+27	+0	+0	-4	+0	+0	+0	+0
OG0000022	-7	+1	+0	-2	-8	+47	-3	+15	+0	+36	-3	+0	+5	-1	-3	+2	+0	-2	+0
OG0000024	+0	+0	+0	-3	-6	+15	-4	+2	-4	+16	-11	+58	+0	+2	-7	+4	+0	-3	+0
OG0000025	-2	+0	+0	-3	-4	+1	-1	+0	-7	+70	-11	+43	+0	+1	-6	+5	+0	-5	+0
OG0000027	+1	+1	+1	-2	+3	-5	+0	-3	+0	+5	-2	-2	+0	+0	-1	+0	+0	+2	+0
OG0000028	-1	-1	+0	-3	-5	+25	-5	+11	-1	+51	-6	+2	+3	+0	-4	+2	+0	-3	+0
OG0000029	-3	+4	+0	-8	+15	-3	-1	+10	+0	-1	+1	+9	+0	+2	-5	+4	+0	-6	+0
OG0000031	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	-5	+120	-1	+4	-1	+0	+0	-1	+0
OG0000033	-4	+3	+0	-4	-9	+15	-2	+1	-3	+32	-9	+26	+0	+0	-7	+4	+0	-4	+0
OG0000035	+2	+2	+1	-2	+4	-8	+0	-2	-1	+4	-3	+3	+0	+0	-2	+1	+0	+0	+0
OG0000037	-2	-1	-3	+3	-3	+0	-1	-2	-6	+59	-12	+21	+0	+0	-10	+2	+0	+1	+0
OG0000038	-3	+4	+0	-2	+7	-1	+0	+11	+4	-7	+11	-5	+0	+0	-2	+1	+0	-3	+0
OG0000040	-5	+1	+0	-2	-5	+3	-1	-1	-5	+58	-10	+19	+0	+0	-8	+3	+0	+0	+0
OG0000041	-6	+20	+0	-6	-4	+1	+0	-1	-4	+16	-8	+45	+0	+1	-7	+3	+0	-1	+0
OG0000042	-5	+4	+0	-5	-5	+3	-1	+0	-5	+45	-7	+26	+0	+1	-7	+4	+0	-3	+0
OG0000044	-5	+3	+0	-5	-6	+10	-2	+0	-4	+19	-7	+44	+0	+2	-6	+5	+0	-4	+0
OG0000045	-1	+0	-2	+0	-9	+32	-3	+4	-1	+5	-4	+37	+0	+2	-5	+3	+0	-3	+0
OG0000046	+0	+0	-2	+0	-12	+62	-4	+8	+0	+19	-4	+7	+1	+0	-3	+2	+0	-2	+0
OG0000047	-4	+1	+0	+0	+13	-4	-1	+4	+0	-5	+7	+13	+0	+5	-6	+4	+0	-3	+0
OG0000048	-2	+17	+2	-1	+21	-10	+1	+3	+6	-4	-2	-2	+0	-1	+4	+0	+0	-4	+0
OG0000051	+2	+1	+0	+0	+5	-9	+0	-1	+0	+8	-1	-1	+1	+0	-3	+1	+0	-1	+0
OG0000052	+1	+4	+1	+1	+6	-7	+3	+0	+4	-2	-1	+0	+1	+0	-2	+1	+0	-4	+0
OG0000054	-1	-1	-4	+1	-5	+2	-1	-1	-6	+20	-7	+36	+0	+1	-9	+3	+0	+1	+0
OG0000056	-3	+0	+0	-1	-3	+1	-1	+0	-6	+43	-7	+25	+0	+0	-8	+2	+0	-1	+0
OG0000057	-2	+0	+0	-2	+0	-1	-2	+0	-4	+12	-8	+63	+0	+2	-6	+2	+0	-1	+0
OG0000058	+0	+0	+0	-5	-5	+5	-1	+0	-3	+13	-8	+44	+0	+1	-6	+2	+0	+0	+0
OG0000059	-4	+6	+0	-3	+2	+0	-1	+2	+0	+1	-6	+18	+0	+0	-1	+1	+0	-5	+0
OG0000061	-1	+2	+0	-3	+4	-6	-1	+0	-3	+10	-9	+23	+0	+0	-5	+1	+0	+1	+0
OG0000063	-1	+3	+0	+0	+2	-7	+0	-3	+0	+6	+1	-1	+0	+0	-2	+0	+0	-1	+0
OG0000065	-3	+14	+0	-3	-2	+3	+0	+1	+0	-1	-3	+40	+0	+2	-3	+3	+0	-2	+0
OG0000066	+3	-3	+0	-3	-3	+3	-1	+0	-2	+7	-7	+62	+0	+2	-4	+2	+0	-2	+0
OG0000068	-4	+11	+0	-3	+23	-8	+0	+2	+1	-4	-4	+0	+0	+0	+0	-1	+0	+6	+0
OG0000069	+0	-1	-1	+0	-8	+33	-3	+3	-1	+23	-5	+8	+1	+0	-3	+2	+0	-2	+0
OG0000070	-3	+0	+0	-1	-7	+34	-1	+6	+0	+10	-4	+1	+1	+0	-5	+1	+0	-1	+0
OG0000071	-3	+7	+0	-3	-8	+55	+0	+12	+2	-2	-1	+0	+0	+0	-1	+0	+0	-1	+0
OG0000074	-3	+3	+0	-2	+5	-2	+0	+1	-1	+7	-5	+8	+0	+0	-2	+1	+0	-1	+0
OG0000079	-1	+4	+0	-3	+4	-6	+0	+0	+0	-3	-1	+8	+0	+0	-3	+0	+0	+1	+0
OG0000081	-3	+5	+0	-3	-3	+8	+0	+0	+0	-1	-2	+46	+0	+4	-2	+1	+0	-2	+0
