FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>
OG0000001	2	8	9	10	6	202	13	44	25	87	4	95	29	28	1	27	15	4	15
OG0000004	17	47	26	26	10	9	25	11	24	96	14	43	27	24	3	24	14	4	14
OG0000005	4	6	6	3	6	76	7	22	15	108	1	42	19	17	1	17	10	4	10
OG0000009	0	1	1	0	1	193	1	25	6	11	1	19	6	6	0	6	4	2	4
OG0000011	1	13	9	1	5	56	9	19	14	24	11	89	17	20	4	17	13	9	13
OG0000012	25	37	25	17	45	8	23	23	22	20	6	23	19	17	5	18	17	23	17
OG0000013	3	5	5	0	6	25	5	12	10	44	3	103	15	17	2	15	9	3	9
OG0000014	2	8	8	13	1	20	11	12	13	68	17	58	20	23	0	20	11	3	11
OG0000015	3	4	4	2	5	38	5	13	10	37	2	91	13	15	0	13	7	2	7
OG0000016	25	20	20	9	25	21	19	22	19	12	20	30	18	19	8	18	15	13	15
OG0000017	3	18	14	15	45	14	15	22	16	10	24	22	16	18	25	17	16	5	16
OG0000019	21	41	23	18	39	5	21	20	20	18	10	5	16	12	15	14	13	7	13
OG0000021	3	2	3	3	5	120	3	19	4	2	0	31	4	4	0	4	4	4	4
OG0000022	0	8	7	5	17	72	7	25	10	46	1	4	10	4	0	5	3	1	3
OG0000024	4	4	4	1	4	25	4	10	8	28	3	72	12	14	1	12	8	5	8
OG0000025	1	3	3	0	0	5	3	4	4	81	1	55	11	12	0	11	6	1	6
OG0000027	17	17	16	13	15	7	15	12	15	20	13	13	15	15	14	15	15	17	15
OG0000028	3	3	4	1	15	45	4	20	9	61	1	9	10	7	1	7	5	2	5
OG0000029	8	15	11	3	37	19	11	22	12	11	15	23	12	14	3	12	8	2	8
OG0000031	1	1	1	1	1	0	1	1	1	1	1	126	1	6	1	2	2	1	2
OG0000033	3	10	7	3	1	25	7	10	9	44	3	38	12	12	1	12	8	4	8
OG0000035	16	16	14	11	15	3	13	11	13	18	11	17	14	14	11	14	13	13	13
OG0000037	0	1	2	8	1	4	5	4	6	71	0	33	12	12	0	12	10	11	10
OG0000038	10	17	13	11	31	23	13	24	13	2	20	4	9	9	6	9	8	5	8
OG0000040	0	6	5	3	0	8	5	5	6	69	1	30	11	11	0	11	8	8	8
OG0000041	0	26	6	0	1	6	6	5	6	26	3	56	10	11	0	10	7	6	7
OG0000042	0	9	5	0	1	9	5	6	6	56	5	38	11	12	0	11	7	4	7
OG0000044	0	8	5	0	1	17	5	7	7	30	6	57	11	13	0	11	6	2	6
OG0000045	1	2	2	4	2	43	4	11	7	13	6	47	8	10	0	8	5	2	5
OG0000046	0	0	0	2	2	76	2	14	6	25	1	12	6	5	0	5	3	1	3
OG0000047	5	10	9	9	27	10	9	14	10	5	22	28	10	15	0	10	6	3	6
OG0000048	13	32	15	12	36	5	13	15	12	2	3	3	6	5	10	6	6	2	6
OG0000051	14	13	12	12	16	2	12	11	12	20	10	10	12	11	7	11	10	9	10
OG0000052	18	21	17	17	19	6	16	13	13	7	7	8	9	8	5	8	7	3	7
OG0000054	0	0	1	6	0	7	5	5	6	32	6	49	12	13	0	12	9	10	9
OG0000056	0	3	3	2	1	5	3	4	4	53	3	35	10	10	0	10	8	7	8
OG0000057	0	2	2	0	4	3	2	4	4	20	2	73	8	10	0	8	6	5	6
OG0000058	5	5	5	0	1	11	5	6	6	22	2	54	9	10	1	9	7	7	7
OG0000059	5	15	9	6	14	12	9	12	10	11	4	28	10	10	8	10	9	4	9
OG0000061	6	9	7	4	12	2	7	8	8	21	2	34	11	11	5	11	10	11	10
OG0000063	10	14	11	11	10	1	11	8	11	17	12	10	11	11	9	11	11	10	11
OG0000065	3	20	6	3	5	10	6	7	6	5	5	48	6	8	0	6	3	1	3
OG0000066	6	0	3	0	1	7	3	4	4	13	1	70	6	8	0	6	4	2	4
OG0000068	4	19	8	5	33	2	8	10	8	3	3	7	7	7	8	7	8	14	8
OG0000069	2	1	2	3	1	42	3	9	6	30	1	14	7	6	1	6	4	2	4
OG0000070	3	6	6	5	6	47	6	13	7	17	2	7	7	6	0	6	5	4	5
OG0000071	1	11	4	1	8	71	4	16	4	0	1	2	2	2	1	2	2	1	2
OG0000074	5	11	8	6	14	7	8	9	8	16	4	17	9	9	6	9	8	7	8
OG0000079	8	13	9	6	13	3	9	9	9	6	8	17	9	9	6	9	9	10	9
OG0000081	1	9	4	1	1	12	4	4	4	3	6	54	4	8	1	4	3	1	3
OG0000082	9	18	9	4	17	4	8	9	8	7	4	12	8	8	4	8	8	9	8
OG0000084	7	10	8	7	10	1	8	7	8	9	12	9	9	9	6	9	9	15	9
OG0000085	7	9	8	6	9	10	8	9	8	8	12	8	8	8	10	8	8	5	8
OG0000086	0	1	1	4	0	9	3	4	4	39	1	28	7	7	0	7	4	2	4
OG0000087	13	6	9	10	14	16	9	14	9	4	5	6	6	6	2	6	6	8	6
OG0000088	0	3	3	6	0	68	4	10	4	2	0	0	2	1	1	2	2	3	2
OG0000089	8	8	8	11	10	7	8	8	8	13	8	9	8	8	2	8	7	7	7
OG0000090	3	3	3	3	3	2	3	3	3	5	7	42	6	9	12	7	7	3	7
OG0000092	0	11	5	1	0	14	5	6	6	25	3	23	8	8	0	8	6	5	6
OG0000093	1	5	4	4	1	5	4	4	4	29	1	32	7	7	0	7	5	4	5
OG0000094	1	5	3	1	4	1	3	3	3	3	1	63	3	5	1	3	2	1	2
OG0000096	15	17	13	10	10	9	11	10	10	8	0	1	7	3	8	5	5	2	5
OG0000097	9	14	9	5	7	2	8	6	8	11	8	5	8	8	8	8	8	11	8
OG0000098	5	8	7	7	10	2	7	7	7	5	7	3	7	7	20	7	10	12	10
OG0000099	3	4	4	3	22	43	4	24	4	1	0	1	1	1	0	1	1	1	1
OG0000100	0	9	4	0	8	0	4	5	5	14	8	35	8	10	1	8	6	3	6
OG0000101	14	13	11	11	8	4	10	7	8	9	4	5	7	6	5	6	6	4	6
OG0000102	7	9	8	10	7	1	8	6	8	10	8	10	8	8	8	8	8	7	8
OG0000103	5	8	7	10	16	2	7	7	7	9	2	12	7	7	9	7	7	3	7
OG0000104	3	10	5	3	4	7	5	5	5	2	2	22	5	6	11	6	8	11	8
OG0000115	8	8	7	6	8	4	7	6	7	10	7	8	7	7	6	7	7	7	7
OG0000116	9	6	6	5	1	12	6	6	6	0	6	8	6	6	23	6	7	2	7
OG0000119	7	7	7	9	8	5	7	7	7	7	12	6	7	7	4	7	7	6	7
OG0000121	2	2	2	0	5	9	2	6	5	31	1	14	7	7	0	7	6	6	6
OG0000122	6	8	6	6	1	5	6	4	6	1	5	10	6	6	25	6	7	3	7
OG0000123	0	0	0	1	0	67	1	7	1	0	0	0	1	0	0	1	1	1	1
OG0000125	8	7	7	6	8	1	7	6	7	9	8	6	7	7	7	7	7	9	7
OG0000126	2	7	4	2	5	1	4	4	4	1	20	15	5	11	10	8	8	6	8
OG0000130	9	9	8	7	13	4	8	8	8	8	8	8	7	7	0	7	4	2	4
OG0000131	2	3	2	1	7	0	2	2	2	1	0	0	2	1	51	2	6	3	6
OG0000132	12	5	10	31	15	3	10	8	8	0	0	0	1	0	0	1	1	1	1
OG0000134	0	0	0	0	0	0	0	0	0	43	2	21	5	5	0	5	3	1	3
OG0000137	0	1	1	1	0	5	1	2	2	32	0	26	5	5	0	5	3	1	3
OG0000139	4	16	7	6	16	4	7	8	7	4	8	5	6	6	1	6	4	1	4
OG0000140	0	8	4	3	0	8	4	4	4	37	0	8	5	4	0	4	3	1	3
OG0000141	2	1	2	2	3	1	2	3	3	10	9	33	6	9	0	6	5	4	5
OG0000142	8	6	6	4	1	10	6	6	6	0	4	9	6	6	20	6	7	3	7
OG0000147	7	6	6	6	7	5	6	6	6	6	4	5	6	6	9	6	7	9	7
OG0000148	7	7	7	6	7	0	7	5	7	9	5	8	7	7	6	7	7	9	7
OG0000151	6	6	6	6	6	4	6	5	6	7	6	9	6	6	6	6	6	7	6
OG0000152	0	0	0	1	0	3	1	2	2	9	3	44	5	6	0	5	4	3	4
OG0000153	6	6	5	5	0	9	5	5	5	1	4	6	5	5	23	5	6	3	6
OG0000154	1	6	2	0	0	0	2	0	2	39	0	15	4	4	0	4	3	2	3
OG0000159	8	5	6	4	8	5	6	6	6	7	4	8	6	6	4	6	6	9	6
OG0000160	3	8	4	1	7	0	4	4	4	8	1	24	5	5	1	5	5	9	5
OG0000163	13	8	9	13	8	3	9	6	7	2	1	2	4	3	10	4	4	1	4
OG0000164	3	10	6	7	29	5	6	10	6	0	1	1	2	2	3	2	2	2	2
OG0000165	6	7	6	5	5	3	6	5	6	14	7	5	6	6	2	6	6	7	6
OG0000167	5	8	5	6	0	2	5	2	5	1	5	10	5	6	23	6	7	1	7
OG0000169	1	10	3	0	0	15	3	4	3	32	0	1	3	1	0	1	1	1	1
OG0000170	3	7	6	6	4	7	6	6	6	9	16	5	6	6	0	6	4	3	4
OG0000172	10	5	6	4	7	5	6	6	6	10	5	1	6	5	5	6	6	8	6
OG0000173	6	7	6	8	6	2	6	5	6	7	3	7	6	6	5	6	6	9	6
OG0000174	0	0	0	0	1	0	0	1	1	0	5	51	1	6	1	2	2	2	2
OG0000176	0	0	0	2	0	9	2	3	3	6	6	35	5	7	0	5	3	1	3
OG0000179	5	4	5	5	8	2	5	5	5	11	6	10	6	6	4	6	6	4	6
OG0000180	6	16	7	6	11	2	7	7	7	7	2	6	6	5	1	5	4	2	4
OG0000181	5	3	4	2	9	2	4	4	4	3	7	2	4	4	14	4	7	11	7
OG0000183	0	0	0	0	0	0	0	0	0	0	0	57	0	2	0	1	1	1	1
OG0000185	6	6	6	8	6	5	6	6	6	3	4	4	5	5	10	5	6	5	6
OG0000187	0	2	2	2	1	43	2	6	2	0	0	6	2	2	0	2	2	2	2
OG0000188	4	5	4	3	3	1	4	3	4	14	7	13	6	7	1	6	5	5	5
OG0000189	0	0	0	0	0	4	0	1	1	0	0	51	1	2	0	1	1	1	1
OG0000190	2	1	2	1	4	1	2	3	3	8	1	12	6	6	20	6	8	6	8
OG0000191	3	9	5	4	3	1	5	3	5	5	6	21	5	6	1	5	4	3	4
OG0000196	4	5	4	4	3	3	4	3	4	6	4	21	5	6	3	5	4	2	4
OG0000199	7	8	6	6	6	2	6	5	6	12	4	3	6	5	5	5	5	2	5
OG0000202	0	0	0	1	0	0	1	0	1	53	0	0	1	0	0	1	1	1	1
OG0000205	9	13	9	13	5	1	9	4	6	3	6	1	4	4	1	4	3	2	3
OG0000206	0	4	3	0	0	16	3	5	4	14	6	13	5	6	0	5	3	1	3
OG0000208	8	4	6	6	10	3	6	6	6	7	2	4	5	5	4	5	5	6	5
OG0000212	0	0	0	0	0	3	0	2	2	26	0	20	5	5	0	5	4	3	4
OG0000215	6	5	5	5	5	0	5	4	5	7	6	5	5	5	8	5	5	5	5
OG0000218	0	0	0	0	0	0	0	0	0	51	0	0	1	0	0	1	1	1	1
OG0000219	0	0	0	0	0	0	0	0	0	51	0	0	1	0	0	1	1	1	1
OG0000221	5	5	5	8	8	1	5	5	5	4	4	7	5	5	3	5	5	6	5
OG0000222	3	8	5	8	5	2	5	4	5	6	5	3	5	5	4	5	5	7	5
OG0000224	1	1	1	0	0	0	1	0	1	4	0	43	2	3	0	2	2	2	2
OG0000227	2	1	2	3	9	1	3	3	3	2	5	8	4	5	13	5	6	6	6
OG0000228	4	5	5	5	5	3	5	4	5	7	8	4	5	5	4	5	5	5	5
OG0000229	0	1	1	0	0	1	1	1	1	18	3	24	5	6	0	5	4	3	4
OG0000231	5	4	4	4	4	1	4	3	4	7	6	4	5	5	7	5	6	8	6
OG0000237	3	4	4	3	5	4	4	4	4	2	3	19	4	5	4	4	4	2	4
OG0000238	6	4	5	4	7	4	5	5	5	5	6	4	5	5	4	5	5	5	5
OG0000239	5	5	5	3	5	1	5	4	5	5	7	5	5	5	10	5	5	3	5
OG0000242	0	1	1	0	0	0	1	0	1	1	3	0	1	1	0	1	3	44	4
OG0000245	10	7	6	0	5	2	5	4	5	14	1	7	5	4	1	4	3	1	3
OG0000246	4	6	5	5	5	1	5	4	5	3	4	7	5	5	6	5	5	7	5
OG0000248	5	8	6	7	4	4	6	4	5	4	6	3	4	4	1	4	4	5	4
OG0000249	1	11	4	5	6	3	4	4	4	3	2	3	4	4	1	4	4	12	4
OG0000252	3	7	5	7	6	2	5	5	5	6	3	1	5	4	4	5	5	7	5
OG0000254	4	7	5	6	4	3	5	4	5	9	4	4	5	5	2	5	4	3	4
OG0000255	0	1	1	36	0	1	2	1	2	5	1	1	2	1	0	1	1	1	1
OG0000260	0	0	0	0	0	0	0	0	0	44	0	0	1	0	1	1	1	1	1
OG0000261	0	0	0	0	0	39	0	4	1	0	0	5	1	1	0	1	1	1	1
OG0000263	2	6	4	3	6	2	4	4	4	3	8	10	4	5	2	4	4	3	4
OG0000265	4	6	4	2	6	3	4	4	4	2	2	14	4	4	3	4	4	3	4
OG0000266	4	4	4	4	8	5	4	5	4	8	4	4	4	4	2	4	3	2	3
OG0000276	4	5	4	6	5	4	4	4	4	4	3	5	4	4	4	4	4	4	4
OG0000277	1	5	3	2	5	2	3	3	3	14	6	4	4	4	2	4	4	3	4
OG0000278	4	6	5	6	4	5	5	5	5	2	5	3	4	4	2	4	4	7	4
OG0000279	4	8	4	3	4	3	4	4	4	3	5	4	4	4	5	4	4	5	4
OG0000280	0	6	3	1	0	4	3	3	3	15	1	16	4	4	0	4	3	1	3
OG0000281	0	0	0	0	0	1	0	1	1	6	0	36	3	3	0	3	2	1	2
OG0000289	0	0	0	0	0	42	0	5	1	0	0	0	1	0	0	1	1	1	1
OG0000290	4	9	4	1	3	1	4	3	4	5	2	13	4	4	2	4	4	3	4
OG0000291	1	31	3	1	1	3	2	2	2	1	1	1	1	1	2	1	1	1	1
OG0000292	3	6	4	3	1	1	4	1	4	9	11	6	5	6	1	5	4	2	4
OG0000293	1	2	2	0	2	3	2	2	2	3	2	5	3	3	3	3	5	22	5
OG0000294	3	5	4	5	3	1	4	3	4	5	6	2	4	4	10	4	4	3	4
OG0000297	7	7	6	4	6	4	5	5	5	3	3	6	4	4	1	4	3	1	3
OG0000299	4	5	4	4	4	1	4	3	4	6	3	6	4	4	4	4	4	5	4
OG0000300	4	4	4	4	4	2	4	4	4	1	5	6	4	4	7	4	5	5	5
OG0000301	1	1	1	2	1	2	2	2	2	1	2	30	2	3	1	2	2	1	2
