#FamilyID	Likelihood of Family
OG0000001	-713.449
OG0000004	-174.484
OG0000005	-360.975
OG0000009	-579.13
OG0000011	-262.783
OG0000012	-128.404
OG0000013	-234.338
OG0000014	-188.096
OG0000015	-247.243
OG0000016	-53.1436
OG0000017	-115.486
OG0000019	-124.847
OG0000021	-365.972
OG0000022	-221.094
OG0000024	-176.432
OG0000025	-209.833
OG0000027	-40.8483
OG0000028	-174.661
OG0000029	-88.6011
OG0000031	-202.599
OG0000033	-163.351
OG0000035	-53.551
OG0000037	-164.976
OG0000038	-68.9964
OG0000040	-163.931
OG0000041	-171.944
OG0000042	-157.19
OG0000044	-165.664
OG0000045	-183.127
OG0000046	-256.871
OG0000047	-88.113
OG0000048	-124.963
OG0000051	-58.7421
OG0000052	-57.5637
OG0000054	-129.457
OG0000056	-131.347
OG0000057	-140.1
OG0000058	-128.688
OG0000059	-59.5326
OG0000061	-87.1893
OG0000063	-50.0846
OG0000065	-111.824
OG0000066	-149.111
OG0000068	-120.267
OG0000069	-169.127
OG0000070	-136.03
OG0000071	-201.661
OG0000074	-50.6395
OG0000079	-52.1041
OG0000081	-123.676
OG0000082	-65.8908
OG0000084	-47.7045
OG0000085	-28.0101
OG0000086	-123.196
OG0000087	-39.6329
OG0000088	-213.974
OG0000089	-32.4479
OG0000090	-67.4508
OG0000092	-118.683
OG0000093	-98.4132
OG0000094	-117.005
OG0000096	-45.2809
OG0000097	-43.0978
OG0000098	-48.8369
OG0000099	-89.588
OG0000100	-101.177
OG0000101	-36.6316
OG0000102	-39.2905
OG0000103	-63.0451
OG0000104	-58.5273
OG0000115	-29.8137
OG0000116	-69.3506
OG0000119	-29.8461
OG0000121	-79.7098
OG0000122	-53.1948
OG0000123	-205.901
OG0000125	-38.9524
OG0000126	-56.9559
OG0000130	-45.5645
OG0000131	-89.6498
OG0000132	-93.6304
OG0000134	-98.5739
OG0000137	-105.166
OG0000139	-63.9945
OG0000140	-103.643
OG0000141	-64.9717
OG0000142	-61.9663
OG0000147	-25.8292
OG0000148	-41.561
OG0000151	-25.2786
OG0000152	-89.7756
OG0000153	-60.0764
OG0000154	-99.0495
OG0000159	-30.7588
OG0000160	-76.5447
OG0000163	-49.9899
OG0000164	-88.9886
OG0000165	-33.4639
OG0000167	-54.7738
OG0000169	-116.638
OG0000170	-43.3003
OG0000172	-35.8813
OG0000173	-33.1514
OG0000174	-89.1262
OG0000176	-88.5431
OG0000179	-38.0467
OG0000180	-56.2306
OG0000181	-46.553
OG0000183	-99.7352
OG0000185	-26.4819
OG0000187	-141.911
OG0000188	-41.8603
OG0000189	-104.083
OG0000190	-51.3003
OG0000191	-49.9156
OG0000196	-39.1788
OG0000199	-36.299
OG0000202	-96.6805
OG0000205	-47.5124
OG0000206	-91.2596
OG0000208	-38.7094
OG0000212	-84.3328
OG0000215	-35.4007
OG0000218	-90.8928
OG0000219	-90.8928
OG0000221	-38.7899
OG0000222	-34.2083
OG0000224	-82.938
OG0000227	-47.853
OG0000228	-26.0524
OG0000229	-69.3465
OG0000231	-29.9044
OG0000237	-38.8532
OG0000238	-26.1645
OG0000239	-33.4636
OG0000242	-69.1054
OG0000245	-55.4878
OG0000246	-32.2743
OG0000248	-27.1839
OG0000249	-46.6521
OG0000252	-36.163
OG0000254	-27.853
OG0000255	-90.7197
OG0000260	-79.6791
OG0000261	-132.457
OG0000263	-37.2603
OG0000265	-39.3271
OG0000266	-27.6214
OG0000276	-22.5638
OG0000277	-41.2088
OG0000278	-26.331
OG0000279	-26.6339
OG0000280	-71.3299
OG0000281	-76.5506
OG0000289	-135.189
OG0000290	-44.5926
OG0000291	-81.6887
OG0000292	-36.3605
OG0000293	-41.0098
OG0000294	-31.747
OG0000297	-28.8072
OG0000299	-28.4898
OG0000300	-27.1906
OG0000301	-57.2651
OG0000302	-42.05
OG0000306	-88.4886
OG0000307	-30.9004
OG0000309	-66.1596
OG0000315	-80.7779
OG0000318	-24.9163
OG0000319	-33.393
OG0000320	-26.9677
OG0000322	-32.5607
OG0000323	-56.5565
OG0000325	-70.6968
OG0000330	-41.3766
OG0000332	-54.6121
OG0000333	-43.2163
OG0000335	-49.2488
OG0000336	-36.2312
OG0000337	-38.6606
OG0000338	-29.7735
OG0000339	-26.2976
OG0000340	-88.2614
OG0000341	-25.9439
OG0000342	-32.2706
OG0000344	-41.5043
OG0000346	-36.7637
OG0000347	-51.4944
OG0000348	-24.2706
OG0000349	-39.2488
OG0000351	-40.4853
OG0000352	-28.8179
OG0000353	-29.6653
OG0000354	-25.5755
OG0000357	-35.8087
OG0000366	-53.0925
OG0000367	-28.5523
OG0000369	-23.2868
OG0000370	-29.2326
OG0000371	-41.9783
OG0000372	-26.1705
OG0000373	-63.6698
OG0000374	-28.1137
OG0000375	-38.1962
OG0000380	-34.6001
OG0000385	-21.2414
OG0000386	-40.1718
OG0000389	-31.192
OG0000391	-23.5067
OG0000392	-32.1539
OG0000393	-29.0804
OG0000394	-29.8245
OG0000395	-28.2413
OG0000396	-68.7648
OG0000397	-24.5138
OG0000400	-37.1365
OG0000401	-32.6252
OG0000408	-32.8686
OG0000409	-82.2418
OG0000410	-30.1181
OG0000413	-27.4699
OG0000415	-21.3703
OG0000416	-52.2604
OG0000417	-48.9802
OG0000418	-29.3978
OG0000420	-38.433
OG0000421	-28.6638
OG0000422	-65.9571
OG0000423	-64.1738
OG0000424	-64.2529
OG0000426	-24.001
OG0000428	-26.4884
OG0000429	-38.703
OG0000430	-35.0889
OG0000431	-28.8738
OG0000432	-33.0266
OG0000433	-38.0841
OG0000434	-35.2253
OG0000436	-37.818
OG0000450	-28.3314
OG0000451	-42.7126
OG0000452	-29.7871
OG0000454	-27.1471
OG0000455	-23.9592
OG0000458	-29.6506
OG0000461	-37.1731
OG0000468	-101.978
OG0000474	-26.0765
OG0000475	-23.7613
OG0000476	-27.4514
OG0000477	-34.452
OG0000478	-18.3817
OG0000479	-32.4612
OG0000480	-57.0152
OG0000481	-26.1367
OG0000482	-35.7865
OG0000483	-27.3389
OG0000484	-30.4652
OG0000490	-37.8884
OG0000491	-42.9012
OG0000495	-55.8471
OG0000499	-23.0669
OG0000501	-29.3375
OG0000502	-23.9055
OG0000503	-24.3016
OG0000505	-27.3757
OG0000506	-39.6888
OG0000507	-44.1906
