#FamilyID	pvalue	Significant at 0.05
OG0000001	0	y
OG0000004	0	y
OG0000005	0	y
OG0000009	0	y
OG0000011	0	y
OG0000012	0	y
OG0000013	0	y
OG0000014	0	y
OG0000015	0	y
OG0000016	0	y
OG0000017	0	y
OG0000019	0	y
OG0000021	0	y
OG0000022	0	y
OG0000024	0	y
OG0000025	0	y
OG0000027	0.006	y
OG0000028	0	y
OG0000029	0	y
OG0000031	0	y
OG0000033	0	y
OG0000035	0	y
OG0000037	0	y
OG0000038	0	y
OG0000040	0	y
OG0000041	0	y
OG0000042	0	y
OG0000044	0	y
OG0000045	0	y
OG0000046	0	y
OG0000047	0	y
OG0000048	0	y
OG0000051	0	y
OG0000052	0	y
OG0000054	0	y
OG0000056	0	y
OG0000057	0	y
OG0000058	0	y
OG0000059	0	y
OG0000061	0	y
OG0000063	0	y
OG0000065	0	y
OG0000066	0	y
OG0000068	0	y
OG0000069	0	y
OG0000070	0	y
OG0000071	0	y
OG0000074	0	y
OG0000079	0	y
OG0000081	0	y
OG0000082	0	y
OG0000084	0	y
OG0000085	0.602	n
OG0000086	0	y
OG0000087	0.001	y
OG0000088	0	y
OG0000089	0.064	n
OG0000090	0	y
OG0000092	0	y
OG0000093	0	y
OG0000094	0	y
OG0000096	0	y
OG0000097	0	y
OG0000098	0	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0.005	y
OG0000102	0.003	y
OG0000103	0	y
OG0000104	0	y
OG0000115	0.232	n
OG0000116	0	y
OG0000119	0.204	n
OG0000121	0	y
OG0000122	0	y
OG0000123	0	y
OG0000125	0.002	y
OG0000126	0	y
OG0000130	0	y
OG0000131	0	y
OG0000132	0	y
OG0000134	0	y
OG0000137	0	y
OG0000139	0	y
OG0000140	0	y
OG0000141	0	y
OG0000142	0	y
OG0000147	0.829	n
OG0000148	0.001	y
OG0000151	0.864	n
OG0000152	0	y
OG0000153	0	y
OG0000154	0	y
OG0000159	0.109	n
OG0000160	0	y
OG0000163	0	y
OG0000164	0	y
OG0000165	0.019	y
OG0000167	0	y
OG0000169	0	y
OG0000170	0	y
OG0000172	0.009	y
OG0000173	0.031	y
OG0000174	0	y
